City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,manono,-7.3,27.4167,21.16,93,33,1.96,CD,1681757630
1,rio grande,-32.035,-52.0986,21.06,69,68,6.83,BR,1681757631
2,carnarvon,-24.8667,113.6333,21.98,40,49,5.94,AU,1681757631
3,pacific grove,36.6177,-121.9166,15.21,68,0,5.66,US,1681757519
4,merauke,-8.4667,140.3333,26.85,82,100,1.94,ID,1681757632
5,busselton,-33.65,115.3333,12.88,71,0,3.9,AU,1681757632
6,miguel calmon,-11.4289,-40.595,31.73,38,43,3.04,BR,1681757473
7,saskylakh,71.9167,114.0833,-23.51,100,100,2.12,RU,1681757633
8,antofagasta,-23.65,-70.4,19.6,73,34,5.18,CL,1681757148
9,hobart,-42.8794,147.3294,9.47,88,100,2.57,AU,1681757633
10,nanortalik,60.1432,-45.2371,0.84,86,100,3.05,GL,1681757634
11,slavsk,55.0425,21.677,8.22,83,93,2.85,RU,1681757634
12,ilulissat,69.2167,-51.1,-2.99,74,75,6.69,GL,1681757634
13,parkes,-33.1333,148.1833,9.08,78,0,3.71,AU,1681757634
14,cherskiy,68.75,161.3,-12.7,88,66,2.29,RU,1681757635
15,atuona,-9.8,-139.0333,27.5,79,25,9.17,PF,1681757635
16,cody,44.5263,-109.0565,18.11,21,40,3.58,US,1681757581
17,castro,-24.7911,-50.0119,19.31,98,100,1.42,BR,1681757636
18,san patricio,28.017,-97.5169,26.92,44,75,7.34,US,1681757636
19,port alfred,-33.5906,26.891,21.16,55,0,1.24,ZA,1681757637
20,komsomolskiy,40.4272,71.7189,11.4,62,75,3.09,UZ,1681757637
21,mataura,-46.1927,168.8643,11.38,96,100,1.15,NZ,1681757637
22,albany,42.6001,-73.9662,10.36,90,100,1.55,US,1681757449
23,barrow,71.2906,-156.7887,-22.99,77,0,5.66,US,1681757638
24,qaanaaq,77.484,-69.3632,-12.72,81,0,0.59,GL,1681757638
25,chama,47.1821,8.4636,11.12,78,75,3.6,CH,1681757638
26,lebu,-37.6167,-73.65,12.77,64,17,7.64,CL,1681757639
27,santa cruz,-17.8,-63.1667,22.7,88,75,5.14,BO,1681757639
28,tuktoyaktuk,69.4541,-133.0374,-14.0,78,100,7.2,CA,1681757639
29,georgetown,5.4112,100.3354,28.97,74,40,4.12,MY,1681757559
30,khatanga,71.9667,102.5,-19.73,100,100,3.34,RU,1681757640
31,jaguaribe,-5.8906,-38.6219,32.69,49,90,1.65,BR,1681757591
32,manica,49.0,-1.1667,8.0,94,0,3.4,FR,1681757640
33,rikitea,-23.1203,-134.9692,26.3,82,100,6.48,PF,1681757641
34,pafos,34.7667,32.4167,18.88,63,0,0.0,CY,1681757447
35,upernavik,72.7868,-56.1549,-13.43,94,87,3.1,GL,1681757641
36,nhulunbuy,-12.2333,136.7667,23.34,88,75,2.57,AU,1681757642
37,ushuaia,-54.8,-68.3,5.81,61,75,1.54,AR,1681757386
38,hermanus,-34.4187,19.2345,15.85,84,1,0.58,ZA,1681757643
39,cape town,-33.9258,18.4232,17.17,91,75,4.47,ZA,1681757352
40,port elizabeth,-33.918,25.5701,16.72,84,0,2.06,ZA,1681757644
41,vaini,-21.2,-175.2,23.09,94,100,8.75,TO,1681757645
42,lasa,46.6166,10.7002,9.49,91,100,2.06,IT,1681757646
43,pozo colorado,-23.4923,-58.7972,22.01,96,100,2.11,PY,1681757647
44,champerico,14.3,-91.9167,34.3,54,3,5.13,GT,1681757647
45,yulara,-25.2406,130.9889,14.36,46,15,3.32,AU,1681757648
46,alofi,-19.0595,-169.9187,22.94,94,100,5.66,NU,1681757649
47,yumaguzino,52.9041,56.3933,5.3,61,90,1.21,RU,1681757650
48,bambous virieux,-20.3428,57.7575,25.14,88,40,3.09,MU,1681757651
49,saint george,37.1041,-113.5841,24.13,21,0,1.54,US,1681757425
50,santo domingo,18.5001,-69.9886,30.82,73,40,5.14,DO,1681757556
51,khandyga,62.6667,135.6,-11.07,98,73,1.38,RU,1681757653
52,polyarnyy,69.1989,33.4478,1.83,99,100,5.71,RU,1681757654
53,yaan,7.3833,8.5667,31.95,45,90,3.5,NG,1681757654
54,mahebourg,-20.4081,57.7,25.16,88,40,3.09,MU,1681757655
55,guerrero negro,27.9769,-114.0611,17.58,60,12,8.85,MX,1681757657
56,kaitangata,-46.2817,169.8464,11.41,94,100,1.87,NZ,1681757658
57,praia da vitoria,38.7333,-27.0667,17.14,67,20,5.69,PT,1681757659
58,ouadda,8.0777,22.4007,22.63,83,100,1.42,CF,1681757660
59,east london,-33.0153,27.9116,21.52,64,0,3.09,ZA,1681757660
60,konevo,62.1215,39.3192,-1.7,98,30,1.32,RU,1681757662
61,butaritari,3.0707,172.7902,28.04,74,9,3.0,KI,1681757662
62,bilma,18.6853,12.9164,33.33,8,0,3.52,NE,1681757662
63,chuy,-33.6971,-53.4616,18.15,46,8,4.55,UY,1681757471
